Name,Country,Net_Worth_Billions,Source_of_Wealth,Wealth_Type,Generation_of_Wealth,Age_Became_Billionaire,Education_Level,Company_Founded,Philanthropy_Level
Anne Werninghaus,USA,33.09,Energy,Self-Made,First Generation,35,Master’s,Yes,Medium
Wong Hei & family,USA,25.92,Retail,Self-Made,First Generation,39,Master’s,Yes,Medium
Wu Eddie Yongming,Saudi Arabia,13.97,Retail,Inherited,Multi-Generational,30,Bachelor’s,No,High
Eugene Wu,Switzerland,78.69,Finance,Self-Made,First Generation,55,Dropout,Yes,Low
Wu Wei,Japan,3.82,Real Estate,Self-Made,First Generation,37,Dropout,Yes,High
Xiao Guoqing,UK,18.81,Real Estate,Self-Made,First Generation,45,Dropout,No,Low
Yao Lisheng,India,52.83,Energy,Self-Made,Second Generation,30,Bachelor’s,Yes,Medium
Faxiang Yu,Brazil,40.02,Tech,Self-Made,Second Generation,55,PhD,Yes,Medium
Yuan Jinhua,Thailand,93.8,Manufacturing,Self-Made,Multi-Generational,29,Bachelor’s,No,High
Igor Yusufov,Saudi Arabia,19.67,Tech,Inherited,Multi-Generational,22,Bachelor’s,No,Medium
Shengda Zan,Saudi Arabia,30.67,Media,Self-Made,First Generation,33,Dropout,Yes,Low
Zeng Huansha,UK,17.67,Tech,Inherited,Multi-Generational,39,Dropout,No,High
Zhang Xuewu,Brazil,99.7,Tech,Self-Made,First Generation,38,Dropout,Yes,Medium
Zhao Tongtong,Brazil,84.49,Real Estate,Self-Made,First Generation,32,Master’s,No,High
Tony Zhao,Switzerland,27.31,Finance,Self-Made,Second Generation,26,Master’s,Yes,Low
Zhong Peifeng,Thailand,87.34,Energy,Self-Made,Second Generation,42,Dropout,Yes,High
A. Jayson Adair,India,72.72,Media,Self-Made,Second Generation,26,Master’s,Yes,Low
Albert Avdolyan,India,28.28,Tech,Self-Made,First Generation,55,Dropout,Yes,Medium
Baiju Bhatt,Switzerland,15.44,Real Estate,Inherited,Multi-Generational,30,None,No,Low
"Wilbur  'Ed' Bosarge, Jr.",Thailand,89.1,Manufacturing,Self-Made,Second Generation,26,Bachelor’s,Yes,Low
Chang Byung-gyu,Japan,37.79,Manufacturing,Self-Made,First Generation,27,Dropout,Yes,Low
Carmen Daurella Aguilera,UK,89.76,Energy,Inherited,Second Generation,21,Bachelor’s,No,Low
Mukand Lal Dua,Thailand,15.03,Tech,Self-Made,First Generation,40,Bachelor’s,Yes,Medium
Ramesh Kumar Dua,Switzerland,14.89,Tech,Inherited,Multi-Generational,26,Master’s,No,High
Jose Elias,Brazil,46.8,Finance,Self-Made,Second Generation,42,Bachelor’s,Yes,Medium
Larry Fink,Brazil,55.88,Tech,Self-Made,Second Generation,34,PhD,Yes,High
Horst-Otto Gerberding,India,97.87,Media,Inherited,Second Generation,39,Bachelor’s,No,High
Gim Seong-gon,Saudi Arabia,1.76,Manufacturing,Inherited,Second Generation,35,Master’s,No,Low
Gou Yiqun,Brazil,1.33,Real Estate,Self-Made,First Generation,27,Bachelor’s,Yes,High
Hang Hong,Germany,57.7,Media,Self-Made,First Generation,37,Bachelor’s,Yes,Medium
David Helgason,Japan,43.67,Finance,Inherited,Multi-Generational,21,Bachelor’s,No,Low
Hou Jianbin,Germany,55.79,Manufacturing,Self-Made,First Generation,26,None,Yes,Low
Long Jiang,Saudi Arabia,39.09,Tech,Self-Made,First Generation,30,Dropout,Yes,Medium
Ashok Kajaria,Germany,96.45,Manufacturing,Inherited,Second Generation,22,Bachelor’s,No,Low
Kim Kardashian,India,7.61,Tech,Inherited,Second Generation,24,Master’s,No,Low
David Katzman,USA,68.6,Tech,Inherited,Second Generation,34,Master’s,No,Medium
Masatoshi Kumagai,Thailand,94.77,Finance,Self-Made,Multi-Generational,36,Master’s,Yes,Medium
Li Yinan,Brazil,64.7,Tech,Self-Made,Multi-Generational,36,Bachelor’s,Yes,High
Liu Qingfeng,Thailand,61.29,Retail,Inherited,Second Generation,33,Bachelor’s,No,Medium
Ma Hong,Germany,20.14,Finance,Inherited,Multi-Generational,28,Bachelor’s,No,Medium
Sergei Makhlai,India,82.46,Retail,Self-Made,Multi-Generational,47,Bachelor’s,No,Medium
Rafique Malik,Germany,26.67,Finance,Inherited,Second Generation,22,Bachelor’s,No,Low
Mao Huihua,UK,85.82,Finance,Self-Made,First Generation,45,Bachelor’s,Yes,Low
Michael McCain,Saudi Arabia,11.68,Tech,Self-Made,Second Generation,40,Bachelor’s,No,High
George Pedersen,UK,47.47,Media,Self-Made,First Generation,48,None,Yes,Medium
Tyler Perry,Thailand,72.88,Finance,Inherited,Second Generation,20,Dropout,No,Low
Maria Pinheiro,Japan,59,Manufacturing,Self-Made,Second Generation,26,Master’s,Yes,Low
Hartley Rogers,Saudi Arabia,21.45,Manufacturing,Self-Made,First Generation,41,Dropout,Yes,Medium
Marco Squinzi,Japan,94.21,Energy,Self-Made,Multi-Generational,30,Bachelor’s,Yes,High
Veronica Squinzi,India,56.63,Real Estate,Self-Made,Second Generation,41,PhD,Yes,Low
Vlad Tenev,Saudi Arabia,76.68,Media,Inherited,Multi-Generational,23,None,No,Low
Tong Judy Wenhong,Thailand,51.04,Manufacturing,Self-Made,Multi-Generational,41,None,Yes,Medium
Ruben Vardanyan,UK,50.52,Real Estate,Self-Made,First Generation,26,Bachelor’s,No,Low
Vlad Vendrow & family,India,92.88,Media,Self-Made,First Generation,48,None,Yes,Low
Wang Qiangxiang,Brazil,3.8,Media,Inherited,Second Generation,39,Dropout,No,Low
Wang Wenjian,India,58.1,Energy,Self-Made,First Generation,29,Dropout,Yes,High
J. Wayne Weaver,Brazil,55.89,Manufacturing,Self-Made,First Generation,37,Master’s,Yes,High
Xia Zhisheng & family,Saudi Arabia,82.66,Finance,Self-Made,Second Generation,28,Bachelor’s,Yes,Low
Xu Jin,Japan,38.14,Media,Self-Made,Multi-Generational,33,Bachelor’s,No,Low
Yao Hsiao Tung,Brazil,88.87,Retail,Self-Made,First Generation,43,Dropout,Yes,Medium
Yu De-Chao,India,90.8,Finance,Self-Made,First Generation,39,Bachelor’s,Yes,Low
Daniel Yong Zhang,Switzerland,36.58,Energy,Inherited,Multi-Generational,31,Dropout,No,High
Zhang Yuqiang,Brazil,31.28,Real Estate,Self-Made,First Generation,33,None,No,Medium
Zhao Meiguang,Thailand,47.59,Tech,Self-Made,First Generation,28,Bachelor’s,No,Low
Zhong Naixiong,Saudi Arabia,82.8,Retail,Inherited,Multi-Generational,18,Bachelor’s,No,Low
Zhou Wei family,Thailand,85.55,Finance,Self-Made,Second Generation,50,Dropout,Yes,Medium
Rodolphe Saadé,Brazil,29.58,Real Estate,Self-Made,Second Generation,42,Master’s,Yes,Medium
Germán Larrea Mota Velasco & family,UK,72.27,Tech,Self-Made,First Generation,35,Master’s,Yes,Medium
He Xiangjian & family,India,43.79,Finance,Inherited,Second Generation,38,Bachelor’s,No,Medium
Miriam Adelson & family,Switzerland,94.37,Finance,Self-Made,First Generation,38,Bachelor’s,Yes,High
Qin Yinglin,USA,47.05,Retail,Self-Made,Second Generation,33,Bachelor’s,No,Low
Fan Hongwei,Switzerland,6.31,Retail,Self-Made,First Generation,47,None,Yes,Low
Gianluigi Aponte,Brazil,86.56,Finance,Inherited,Multi-Generational,22,None,No,Medium
Renata Kellnerova & family,Brazil,62.62,Real Estate,Self-Made,First Generation,41,Bachelor’s,Yes,Low
Leonid Mikhelson & family,India,39.73,Tech,Inherited,Second Generation,21,Bachelor’s,No,Medium
Lin Jianhua,Thailand,96.75,Finance,Self-Made,Multi-Generational,31,None,No,Medium
Zhang Congyuan,Japan,84.97,Media,Inherited,Multi-Generational,33,Master’s,No,Medium
Andrey Melnichenko & family,UK,14.96,Tech,Self-Made,First Generation,25,Dropout,No,Medium
Marcel Herrmann Telles & family,UK,87.61,Finance,Self-Made,First Generation,48,Bachelor’s,No,Medium
Ge Li,Germany,29,Real Estate,Inherited,Multi-Generational,26,Bachelor’s,No,High
Paul Lee,Japan,69.18,Finance,Self-Made,Second Generation,55,None,Yes,Low
Francine von Finck & family,Saudi Arabia,75.26,Manufacturing,Self-Made,First Generation,42,Master’s,No,Medium
Bajaj siblings,Saudi Arabia,27.74,Energy,Self-Made,First Generation,36,Master’s,No,Medium
Roman Abramovich & family,Japan,40.79,Manufacturing,Inherited,Multi-Generational,26,Master’s,No,Low
Edythe Broad & family,Switzerland,29.27,Real Estate,Self-Made,Second Generation,50,Master’s,Yes,High
Alejandro Bailleres Gual & family,Switzerland,59.95,Finance,Self-Made,Second Generation,51,PhD,No,Low
Dmitry Rybolovlev & family,Saudi Arabia,19.83,Real Estate,Self-Made,Second Generation,48,Bachelor’s,Yes,High
Cliff Obrecht,India,83.24,Real Estate,Self-Made,Second Generation,39,Master’s,Yes,Low
Melanie Perkins,Germany,25.8,Media,Self-Made,Multi-Generational,42,None,No,Low
David Velez & family,Saudi Arabia,15.93,Retail,Self-Made,Multi-Generational,55,Bachelor’s,No,High
Melinda French Gates,Switzerland,45.72,Energy,Self-Made,First Generation,41,Bachelor’s,Yes,Low
Gary Wang,Germany,80.73,Energy,Self-Made,First Generation,43,PhD,Yes,Medium
Josh Harris,USA,7.84,Manufacturing,Self-Made,First Generation,46,None,Yes,Medium
Tang Xiao'ou,India,49.85,Manufacturing,Self-Made,First Generation,45,Dropout,Yes,Medium
Tse Ping & family,Switzerland,58.58,Manufacturing,Self-Made,Multi-Generational,40,Dropout,Yes,High
Lin Muqin & family,India,81.5,Real Estate,Self-Made,Second Generation,41,None,Yes,Medium
Chris Xu,Japan,7.96,Tech,Self-Made,Second Generation,37,Dropout,No,Medium
Chulong Huang,Saudi Arabia,9.09,Retail,Inherited,Second Generation,40,None,No,Low
Scott Shleifer,UK,48.7,Energy,Self-Made,First Generation,47,Dropout,Yes,High
Autry Stephens,India,93.63,Media,Self-Made,First Generation,45,Bachelor’s,Yes,High
Andrei Guryev & family,Brazil,50.58,Manufacturing,Inherited,Second Generation,29,Master’s,No,Low
Mang Yee Chu & family,Brazil,18.92,Tech,Self-Made,Multi-Generational,48,Bachelor’s,Yes,High
Guenther Fielmann,Switzerland,86.69,Tech,Inherited,Second Generation,40,Bachelor’s,No,Medium
Trudy Cathy White,Japan,6.95,Tech,Self-Made,Second Generation,52,None,Yes,Medium
Todd Boehly,Japan,55.66,Retail,Inherited,Multi-Generational,37,Dropout,No,Low
Falguni Nayar,Saudi Arabia,53.36,Retail,Self-Made,First Generation,51,None,No,Low
Liangzhi Xie & family,Switzerland,14.58,Energy,Inherited,Second Generation,28,Bachelor’s,No,Low
Zhang Hejun,India,15.86,Real Estate,Self-Made,First Generation,45,None,Yes,Low
Lu Yiwen,Saudi Arabia,46.93,Tech,Self-Made,First Generation,25,PhD,Yes,High
Martin Bouygues,India,57.66,Finance,Self-Made,Multi-Generational,35,Bachelor’s,Yes,Medium
Yin Yee Lee,India,78.22,Energy,Inherited,Second Generation,40,Dropout,No,Medium
Juan Domingo Beckmann Legorreta & family,India,80.32,Retail,Self-Made,Second Generation,43,Bachelor’s,No,Low
Giorgio Perfetti,Germany,1.01,Retail,Self-Made,Second Generation,26,Bachelor’s,Yes,Medium
Max Lytvyn,USA,81.17,Real Estate,Self-Made,First Generation,51,Bachelor’s,Yes,Medium
Ramzi Musallam,India,17.84,Tech,Self-Made,Second Generation,30,Dropout,Yes,Low
Alex Shevchenko,USA,13.59,Finance,Self-Made,Second Generation,48,None,Yes,Low
Gerda Tschira,India,92.71,Manufacturing,Self-Made,Multi-Generational,41,Dropout,No,Low
Zhao Lixin,Saudi Arabia,32.38,Finance,Self-Made,Second Generation,50,None,Yes,Low
Gurbachan Singh Dhingra,Germany,6.19,Energy,Self-Made,Second Generation,43,Bachelor’s,Yes,High
Kuldip Singh Dhingra,USA,33.53,Real Estate,Self-Made,First Generation,46,Dropout,Yes,High
Vinod Rai Gupta,Japan,9.79,Retail,Inherited,Second Generation,38,Bachelor’s,No,Low
Susan Carol Holland,Brazil,69.08,Tech,Self-Made,First Generation,55,PhD,Yes,Low
Jianxing Che,UK,24.91,Media,Self-Made,Second Generation,48,Dropout,Yes,Low
Yonghong Shi & family,Brazil,80.38,Finance,Inherited,Multi-Generational,40,Master’s,No,Low
Song Chi-hyung,Brazil,11.86,Tech,Inherited,Multi-Generational,39,None,No,High
Danielle Bellon & family,Japan,14.58,Tech,Self-Made,Second Generation,37,None,Yes,Low
Raveendran Byju,USA,62,Finance,Self-Made,Second Generation,31,Master’s,Yes,Medium
Kenneth Dart,Saudi Arabia,61.38,Finance,Self-Made,Second Generation,47,Bachelor’s,Yes,Medium
Cunhui Nan,UK,35.73,Media,Inherited,Second Generation,31,Master’s,No,High
Li Yongxin,India,46.93,Energy,Inherited,Multi-Generational,26,Dropout,No,Low
Jeffrey Lurie & family,USA,35.47,Manufacturing,Self-Made,First Generation,31,Bachelor’s,Yes,Low
Kang An,Switzerland,80.78,Real Estate,Self-Made,First Generation,42,Master’s,Yes,Medium
Travis Boersma,Japan,84.15,Energy,Self-Made,First Generation,54,Dropout,Yes,High
Shilong Zhang & family,India,82.1,Finance,Self-Made,First Generation,26,Bachelor’s,No,Medium
Cameron Adams,UK,86.54,Energy,Inherited,Multi-Generational,28,PhD,No,Low
Giuseppe Crippa & family,UK,75.1,Finance,Self-Made,Second Generation,33,Master’s,Yes,Low
"Ernest Garcia, III",USA,29.75,Energy,Self-Made,Second Generation,30,Dropout,Yes,Low
"Robert Hale, Jr.",Switzerland,97.62,Retail,Self-Made,First Generation,44,Dropout,Yes,High
Thi Phuong Thao Nguyen,India,58.58,Finance,Self-Made,First Generation,35,Dropout,No,High
Karthik Sarma,Thailand,23.31,Manufacturing,Self-Made,First Generation,44,PhD,Yes,Medium
Chang Kuo-Hua,Japan,65.53,Finance,Self-Made,Multi-Generational,30,None,Yes,Medium
Wijono & Hermanto Tanoko,India,5.29,Retail,Self-Made,First Generation,41,Bachelor’s,No,Low
John Tyson & family,Thailand,54.17,Retail,Self-Made,Second Generation,51,Bachelor’s,Yes,Medium
Wang Ning & family,Brazil,70.19,Energy,Self-Made,First Generation,26,Bachelor’s,Yes,Medium
Oren Zeev,Brazil,86.82,Media,Inherited,Second Generation,39,Bachelor’s,No,Low
Lei Zhang,Thailand,37.16,Manufacturing,Self-Made,Second Generation,31,Bachelor’s,No,Medium
Zhang Xin,Brazil,92.98,Manufacturing,Self-Made,First Generation,29,Bachelor’s,Yes,Low
Zhu Yan & family,Thailand,67.05,Real Estate,Inherited,Multi-Generational,22,Master’s,No,High
Bui Thanh Nhon,UK,74.4,Tech,Inherited,Multi-Generational,38,Bachelor’s,No,Medium
Guo Zhenyu & family,Brazil,97.27,Manufacturing,Self-Made,First Generation,34,Bachelor’s,Yes,Medium
Hamilton James & family,India,51.12,Tech,Self-Made,Second Generation,35,Dropout,Yes,Low
Hua Shen,Germany,17.25,Tech,Inherited,Multi-Generational,30,Bachelor’s,No,High
Yoo Jung-hyun,Germany,43.97,Real Estate,Self-Made,Multi-Generational,36,Bachelor’s,Yes,Medium
Zhao Fenggang,Saudi Arabia,1.05,Media,Self-Made,Second Generation,31,Bachelor’s,Yes,High
Karen Virginia Beckmann Legoretta,Germany,35.49,Energy,Self-Made,First Generation,53,PhD,Yes,Medium
Jianping Lai,UK,57.13,Energy,Self-Made,Multi-Generational,48,None,Yes,Low
Isabella Seràgnoli,India,69.32,Finance,Inherited,Multi-Generational,22,Bachelor’s,No,Medium
Chuanhua Xu & family,Switzerland,26.94,Tech,Self-Made,First Generation,51,Dropout,Yes,Low
Carlos Hank Rhon & family,UK,75.37,Real Estate,Self-Made,First Generation,31,Bachelor’s,Yes,Medium
Vivek Jain,Germany,45.31,Tech,Self-Made,First Generation,38,Master’s,Yes,Low
Federico De Nora,India,28.79,Manufacturing,Self-Made,Multi-Generational,32,Bachelor’s,No,Medium
Alceu Elias Feldmann & family,India,50.82,Retail,Self-Made,First Generation,47,Master’s,Yes,Medium
Rajinder Gupta,Brazil,44.95,Media,Self-Made,First Generation,31,Bachelor’s,No,Medium
Ravi Modi,USA,12.46,Real Estate,Inherited,Multi-Generational,33,Bachelor’s,No,Medium
Ni Yongpei & family,Thailand,22.26,Media,Inherited,Second Generation,24,Bachelor’s,No,Medium
Nadia Thiele,Germany,43.39,Media,Inherited,Multi-Generational,27,PhD,No,High
William Franke,USA,63.14,Real Estate,Self-Made,Second Generation,37,Bachelor’s,Yes,Medium
Joe Lau,USA,96.59,Media,Inherited,Multi-Generational,30,Bachelor’s,No,Medium
Otto Toto Sugiri,USA,21.17,Real Estate,Inherited,Second Generation,39,Bachelor’s,No,Low
Jeff Tangney,Japan,78.23,Real Estate,Self-Made,First Generation,54,PhD,Yes,Low
Nikil Viswanathan,Saudi Arabia,41.6,Media,Inherited,Multi-Generational,31,Master’s,No,High
Bai Houshan,USA,38.41,Media,Inherited,Second Generation,33,None,No,Medium
Cho Young-sik,Switzerland,76.02,Energy,Self-Made,First Generation,47,Master’s,No,Low
Liang Rubo,UK,41.71,Media,Inherited,Multi-Generational,38,Bachelor’s,No,Low
Wu Yingming,India,16.62,Tech,Inherited,Second Generation,24,Bachelor’s,No,High
Alex Atallah,Brazil,81.63,Retail,Inherited,Second Generation,26,PhD,No,Medium
Devin Finzer,Germany,46.08,Retail,Self-Made,Multi-Generational,38,Bachelor’s,Yes,Medium
Shlomo Kramer,USA,58.25,Retail,Inherited,Multi-Generational,34,Dropout,No,High
Christian Latouche & family,Saudi Arabia,21.16,Media,Inherited,Multi-Generational,18,Bachelor’s,No,Low
Lin Lairong & family,Germany,35.72,Energy,Self-Made,First Generation,35,Bachelor’s,No,High
Riaz Valani,USA,53.75,Retail,Self-Made,First Generation,42,PhD,No,Medium
Huwen Chen,India,31.45,Manufacturing,Self-Made,Second Generation,38,Dropout,No,Low
Huxiong Chen,Saudi Arabia,2.33,Manufacturing,Inherited,Multi-Generational,29,Master’s,No,Low
Fang Xiaoliang & family,USA,93.39,Tech,Inherited,Multi-Generational,21,None,No,Low
Luo Yangyong & family,UK,63.96,Media,Self-Made,Second Generation,37,Bachelor’s,No,Low
Ryan Breslow,UK,9.73,Energy,Inherited,Second Generation,27,Dropout,No,Medium
Georgi Domuschiev,Japan,56.63,Tech,Self-Made,Second Generation,53,Bachelor’s,Yes,Medium
Kiril Domuschiev,Switzerland,36.66,Media,Inherited,Second Generation,23,Bachelor’s,No,Medium
Jay Hennick,Japan,46.52,Energy,Self-Made,First Generation,49,Bachelor’s,Yes,Low
Egor Kulkov,Brazil,75.88,Energy,Self-Made,First Generation,50,None,Yes,High
Josh Kushner,USA,34.85,Media,Self-Made,Second Generation,45,Bachelor’s,No,Medium
Xuhui Li,Thailand,14.09,Tech,Inherited,Multi-Generational,39,Master’s,No,Medium
Wang Jianguo,Brazil,37.41,Media,Self-Made,First Generation,31,Bachelor’s,No,Medium
Shuifu Wang,Germany,41.71,Energy,Self-Made,First Generation,32,Dropout,Yes,Low
Bai Baokun,Saudi Arabia,99.39,Manufacturing,Inherited,Multi-Generational,35,PhD,No,Low
He Zhenggang,Thailand,45.29,Media,Inherited,Second Generation,21,Bachelor’s,No,Low
Roberto Herna&#769;ndez Ramirez,Saudi Arabia,27.78,Tech,Inherited,Multi-Generational,22,PhD,No,Low
Kim Hyoung-nyon,Thailand,41.11,Tech,Inherited,Multi-Generational,24,Bachelor’s,No,High
Jinxing Qi,Germany,77.67,Finance,Self-Made,Multi-Generational,40,Bachelor’s,No,Low
Sun Hongjun,Japan,43.06,Real Estate,Self-Made,First Generation,39,Dropout,Yes,Medium
Anand Surana,Switzerland,4.29,Retail,Self-Made,First Generation,47,Bachelor’s,Yes,High
Dilip Surana,USA,47.57,Media,Self-Made,First Generation,25,Bachelor’s,Yes,Medium
Chang Kuo-Ming,USA,55.37,Real Estate,Self-Made,First Generation,45,None,Yes,Medium
Gang Chen,Saudi Arabia,28.5,Media,Inherited,Second Generation,31,Dropout,No,Low
Tench Coxe,Thailand,87.99,Media,Inherited,Second Generation,25,Bachelor’s,No,Medium
Gan Zhongru,Germany,2.71,Media,Self-Made,Second Generation,46,Bachelor’s,No,Low
Huang Min,Saudi Arabia,89.15,Real Estate,Self-Made,First Generation,39,Bachelor’s,Yes,Medium
Charlwin Mao,UK,59.87,Tech,Self-Made,First Generation,48,Dropout,Yes,Low
Mrudula Parekh,India,51.25,Manufacturing,Self-Made,First Generation,25,Bachelor’s,No,High
Qu Miranda,Thailand,81.56,Tech,Self-Made,Second Generation,41,Dropout,Yes,Medium
Xu Shijun & family,Germany,81.52,Retail,Inherited,Multi-Generational,33,Master’s,No,Medium
Cai Mingtong,Saudi Arabia,20.21,Energy,Inherited,Multi-Generational,30,Bachelor’s,No,High
Li Jianli,Switzerland,43.42,Media,Self-Made,First Generation,31,Bachelor’s,No,Medium
Li Zhigang,Switzerland,2.45,Manufacturing,Inherited,Multi-Generational,27,Dropout,No,High
Rihanna,Brazil,23.99,Media,Self-Made,First Generation,52,Bachelor’s,Yes,Low
Qinxiang Shao,Brazil,90.07,Energy,Self-Made,First Generation,30,Master’s,Yes,Medium
Byron Trott,Switzerland,63.24,Finance,Self-Made,First Generation,32,Dropout,No,Medium
Wang Mingwang,Switzerland,84.35,Manufacturing,Self-Made,First Generation,41,Master’s,No,High
Wu Xiangdong,Japan,76.31,Real Estate,Inherited,Second Generation,40,Master’s,No,Medium
Yu Lili,Saudi Arabia,99.98,Finance,Self-Made,Second Generation,42,Dropout,Yes,Medium
Yubai Zhang,UK,78.57,Tech,Inherited,Multi-Generational,23,Master’s,No,Medium
Zhu Zhaojiang,Saudi Arabia,60.63,Real Estate,Inherited,Multi-Generational,27,Dropout,No,High
Hari Bhartia,Brazil,63.56,Media,Inherited,Second Generation,29,Bachelor’s,No,High
Shyam Bhartia,Saudi Arabia,25.93,Energy,Inherited,Second Generation,40,Bachelor’s,No,Medium
Chen Shibin,Brazil,78.29,Energy,Inherited,Multi-Generational,38,PhD,No,High
Robert Clark,USA,35.13,Media,Inherited,Multi-Generational,26,Bachelor’s,No,Low
Lutz Mario Helmig & family,India,37.69,Finance,Inherited,Second Generation,27,Master’s,No,Medium
Hu Kunhui,Brazil,33.31,Finance,Self-Made,First Generation,31,Bachelor’s,Yes,Low
Sunjay Kapur,Switzerland,39.5,Manufacturing,Self-Made,Second Generation,33,Dropout,No,High
Liu Aisen & family,Germany,39.03,Media,Self-Made,First Generation,46,Master’s,Yes,Medium
Jinsheng Ren & family,Brazil,96.52,Energy,Self-Made,First Generation,35,Master’s,No,Low
George Sakellaris,India,84.54,Real Estate,Self-Made,Multi-Generational,30,None,Yes,Medium
Paul Saville,Switzerland,54.74,Real Estate,Self-Made,First Generation,40,Master’s,Yes,Medium
Ivan Savvidis & family,Saudi Arabia,43.23,Energy,Self-Made,Multi-Generational,52,Bachelor’s,Yes,Medium
Keiichi Shibahara,Brazil,32.83,Real Estate,Self-Made,Multi-Generational,40,PhD,Yes,High
Ion Stoica,Brazil,90,Media,Inherited,Multi-Generational,20,Master’s,No,Medium
Bambang Sutantio,Saudi Arabia,69.36,Real Estate,Inherited,Second Generation,35,Master’s,No,Low
Tan Lili,India,91.68,Real Estate,Self-Made,First Generation,38,Bachelor’s,No,Low
Ching Bor Tung,Japan,3.01,Real Estate,Inherited,Second Generation,22,None,No,Medium
Scott Watterson,India,13.76,Finance,Self-Made,Second Generation,54,Bachelor’s,Yes,Medium
Tom Werner,Germany,11.16,Finance,Self-Made,First Generation,48,PhD,Yes,High
Kie Chie Wong,Germany,50.85,Tech,Self-Made,Second Generation,39,Master’s,Yes,Low
Tingdong Yang,Germany,69.1,Manufacturing,Inherited,Second Generation,37,Dropout,No,Low
Matei Zaharia,Switzerland,51.63,Real Estate,Inherited,Second Generation,20,Master’s,No,Medium
Zhang Jian,India,56.3,Media,Inherited,Multi-Generational,19,Dropout,No,Medium
Andres Bzurovski Bay,USA,67.15,Finance,Self-Made,First Generation,48,Master’s,Yes,Low
Chen Xianbao & family,Saudi Arabia,38.1,Retail,Self-Made,Multi-Generational,49,Master’s,Yes,High
Henrique Dubugras,Brazil,16.76,Tech,Self-Made,Second Generation,45,Bachelor’s,Yes,Medium
Sergio Fogel,UK,92.68,Media,Self-Made,First Generation,32,Dropout,Yes,Medium
Pedro Franceschi,Germany,31.88,Retail,Inherited,Second Generation,36,Dropout,No,Medium
Wei Gu,Germany,98.52,Energy,Self-Made,Multi-Generational,40,Bachelor’s,Yes,High
Matt Hulsizer,Brazil,84.1,Manufacturing,Self-Made,Second Generation,34,Bachelor’s,Yes,Low
Peter Jackson,India,3.37,Retail,Self-Made,First Generation,36,PhD,No,High
Lei Jin,Germany,32.25,Media,Self-Made,Second Generation,33,Dropout,Yes,High
Jin Xin,India,56.8,Real Estate,Self-Made,First Generation,50,None,No,High
Jenny Just,Switzerland,3.71,Tech,Self-Made,First Generation,34,Master’s,Yes,Low
Li Jinyang,Germany,63.2,Energy,Self-Made,First Generation,37,Bachelor’s,No,Medium
Li Ming,India,84,Finance,Inherited,Second Generation,31,Master’s,No,Low
Zhen Li & family,Thailand,91.81,Media,Inherited,Multi-Generational,33,Bachelor’s,No,Low
Tadako Nakatani,USA,44.54,Tech,Inherited,Multi-Generational,40,Dropout,No,Medium
Dragos Paval,Thailand,24.13,Manufacturing,Inherited,Second Generation,28,Dropout,No,Medium
Zach Perret,Brazil,69.09,Real Estate,Self-Made,First Generation,45,Dropout,Yes,Medium
Mike Repole,Japan,35.69,Media,Self-Made,Second Generation,47,Bachelor’s,Yes,High
Tang Binsen,Japan,9.01,Manufacturing,Self-Made,First Generation,50,Master’s,No,Medium
Wanmao Xu,Germany,53.32,Real Estate,Self-Made,Second Generation,39,Master’s,No,Medium
Xu Zhenhua,Germany,57.93,Real Estate,Self-Made,Multi-Generational,51,Dropout,Yes,Low
Xue Jiping,USA,83.02,Retail,Inherited,Second Generation,36,Dropout,No,Low
Justin Yuan,Thailand,89.68,Manufacturing,Self-Made,First Generation,50,Bachelor’s,Yes,High
Xinghai Zhang & family,Japan,93.42,Tech,Inherited,Multi-Generational,31,Dropout,No,Medium
Tope Awotona,USA,15.03,Energy,Self-Made,First Generation,31,Master’s,Yes,Low
Marina Budiman,UK,14.65,Finance,Self-Made,Multi-Generational,33,Master’s,Yes,High
Tianqiao Chen,UK,68.86,Media,Self-Made,First Generation,47,Dropout,Yes,High
Ding Shui Po,India,40.89,Manufacturing,Self-Made,First Generation,29,Bachelor’s,No,High
William Hockey,Brazil,15.01,Tech,Self-Made,First Generation,40,Master’s,No,Medium
Ramesh Juneja,Japan,40,Finance,Inherited,Second Generation,20,Master’s,No,Low
Yogesh Kothari,UK,69.07,Manufacturing,Self-Made,First Generation,27,Bachelor’s,Yes,Medium
Art Levinson,UK,25.71,Media,Self-Made,First Generation,41,Dropout,Yes,Low
Sara George Muthoot,Thailand,68.87,Tech,Self-Made,First Generation,28,Dropout,No,Low
Shao Jianxiong,Switzerland,15.71,Energy,Self-Made,First Generation,45,Dropout,Yes,Medium
Denis Sverdlov,Switzerland,32.64,Tech,Inherited,Multi-Generational,19,Bachelor’s,No,Low
Lina Tombolato,Brazil,3.66,Retail,Self-Made,First Generation,36,Bachelor’s,No,Low
Jens von Bahr,Saudi Arabia,42.68,Energy,Self-Made,Second Generation,26,Dropout,No,Medium
Wu Bo,Germany,28.46,Tech,Self-Made,First Generation,28,Master’s,Yes,Medium
Xu Bingzhong,UK,50.08,Retail,Inherited,Multi-Generational,18,Bachelor’s,No,High
Yan Junxu,Thailand,75.34,Retail,Self-Made,Second Generation,29,Master’s,Yes,Medium
Gavril Yushvaev & family,Switzerland,21.56,Real Estate,Inherited,Multi-Generational,24,Master’s,No,Low
Fredrik Österberg,Brazil,57.37,Real Estate,Inherited,Second Generation,23,None,No,Low
