Name,"Education_Status (Educated, Dropout, Self-Taught)","Highest_Degree (Bachelor’s, Master’s, PhD, None)",Graduation_Year,University_Name,Field_of_Study,Startup_Founded (Yes/No),Industry,Age_First_Million
Camilla de Godoy Bueno Grossi,Educated,PhD,1967.0,University of Tokyo,Law,Yes,Finance,44
Benedicte Find,Educated,Master’s,1986.0,No Formal University,History,Yes,Telecom,24
Franco Bittar Garcia,Educated,Bachelor’s,2012.0,University of Oxford,Business,Yes,Media,42
David Golub,Self-Taught,None,,No Formal University,None,Yes,Retail,25
Patrick Hanrahan,Educated,Master’s,1976.0,ETH Zurich,Business,Yes,Manufacturing,32
Hou Juncheng,Dropout,None,,No Formal University,None,Yes,Real Estate,25
Huang Guanlin,Educated,Bachelor’s,1991.0,University of Oxford,History,No,Finance,29
Kim Jung-woong,Educated,Bachelor’s,1961.0,MIT,None,No,Finance,26
Liang Yanfeng & family,Educated,Bachelor’s,2003.0,MIT,History,No,Manufacturing,42
Liu Gexin & family,Educated,PhD,1972.0,ETH Zurich,History,Yes,Telecom,39
Lun Ruixiang & family,Self-Taught,None,,No Formal University,None,Yes,Retail,31
Trevor Milton,Educated,PhD,2013.0,Harvard University,Business,No,Manufacturing,41
Shen Xiqiang & family,Educated,Bachelor’s,1977.0,University of Oxford,Economics,Yes,Tech,33
Nik Storonsky,Dropout,None,,No Formal University,None,No,Media,38
Winarko Sulistyo,Dropout,None,,No Formal University,None,Yes,Manufacturing,32
Sun Mengquan & family,Educated,Master’s,1991.0,MIT,Computer Science,Yes,Real Estate,35
Tang Jinkui & family,Dropout,None,,No Formal University,None,Yes,Finance,41
Todd Wanek,Dropout,None,,No Formal University,None,No,Finance,30
Xie Liangzhi & family,Educated,PhD,1990.0,MIT,None,Yes,Finance,33
Xu Zhihan,Educated,Bachelor’s,1965.0,University of Oxford,Business,Yes,Finance,41
Yuan Jiandong & family,Educated,Master’s,1996.0,ETH Zurich,Engineering,Yes,Manufacturing,31
Alan Zekelman,Educated,Bachelor’s,2015.0,No Formal University,Law,Yes,Tech,26
Linden Blue,Educated,Bachelor’s,2002.0,ETH Zurich,Computer Science,No,Finance,35
GT Dave,Educated,Master’s,2011.0,Stanford University,History,No,Finance,41
Fan Minhua,Dropout,None,,No Formal University,None,Yes,Tech,35
Jay-Z,Educated,Bachelor’s,1976.0,University of Tokyo,Computer Science,Yes,Telecom,43
Ke Guihua,Educated,Bachelor’s,1973.0,ETH Zurich,Economics,Yes,Telecom,39
Bom Kim,Dropout,None,,No Formal University,None,Yes,Tech,30
Lai Shixian,Educated,PhD,1974.0,ETH Zurich,None,Yes,Tech,42
Li Xianyu & family,Educated,PhD,1966.0,No Formal University,Engineering,Yes,Retail,45
Lu Rongfu,Educated,Master’s,1967.0,ETH Zurich,Business,Yes,Media,35
Antonio Percassi,Educated,Master’s,1985.0,MIT,Economics,Yes,Media,40
Christopher Rokos,Educated,Bachelor’s,1995.0,University of Tokyo,Economics,No,Retail,31
RJ Scaringe,Dropout,None,,No Formal University,None,Yes,Tech,34
Neerja Sethi,Educated,PhD,1991.0,University of Oxford,History,No,Finance,32
Scott Smith,Educated,Master’s,1984.0,ETH Zurich,Law,No,Media,34
Sergei Studennikov,Dropout,None,,No Formal University,None,Yes,Manufacturing,35
Tao Yuequn,Dropout,None,,No Formal University,None,Yes,Retail,43
Carl Thoma,Educated,Master’s,2005.0,University of Oxford,None,Yes,Finance,24
Wang Wenmo,Educated,Bachelor’s,2004.0,Harvard University,Economics,No,Finance,41
Wong Chiu Yeung,Educated,Bachelor’s,1967.0,MIT,History,No,Manufacturing,40
Xu Wanmao,Dropout,None,,No Formal University,None,Yes,Tech,37
Mark Haoyong Yang,Self-Taught,None,,No Formal University,None,No,Finance,35
Ye Qiongjiu,Educated,Master’s,1999.0,MIT,Computer Science,Yes,Telecom,27
Zhang Yuxiang & family,Educated,Bachelor’s,2007.0,University of Tokyo,Economics,Yes,Finance,35
Zhao Hongfei,Educated,Bachelor’s,2004.0,ETH Zurich,Engineering,Yes,Tech,22
Karl Albrecht Jr. & family,Educated,Bachelor’s,1970.0,University of Tokyo,Business,Yes,Manufacturing,34
Miriam Adelson,Educated,Bachelor’s,1980.0,ETH Zurich,Economics,No,Media,27
Wu Yajun,Educated,PhD,1975.0,University of Tokyo,History,Yes,Retail,39
Radhakishan Damani,Dropout,None,,No Formal University,None,No,Media,41
Chen Zhiping,Educated,Master’s,2009.0,University of Tokyo,Economics,Yes,Real Estate,34
Jeff Yass,Educated,Bachelor’s,2012.0,University of Oxford,None,No,Finance,29
Mat Ishbia,Educated,Master’s,1973.0,No Formal University,Computer Science,No,Telecom,28
Guillaume Pousaz,Educated,Bachelor’s,2007.0,Harvard University,Computer Science,No,Telecom,25
Sam Bankman-Fried,Self-Taught,None,,No Formal University,None,No,Finance,34
Pan Dong,Educated,Bachelor’s,1995.0,MIT,None,Yes,Tech,24
Dmitri Bukhman,Educated,Master’s,2010.0,Stanford University,Engineering,Yes,Telecom,41
"Ernest Garcia, III.",Educated,Master’s,2014.0,University of Tokyo,History,Yes,Retail,27
Vicky Safra & family,Educated,Master’s,2014.0,Harvard University,Computer Science,No,Retail,44
Marie-Hélène Habert-Dassault,Self-Taught,None,,No Formal University,None,Yes,Real Estate,37
Hua Li,Educated,Bachelor’s,1962.0,University of Oxford,None,No,Media,40
Stewart & Lynda Resnick,Educated,Master’s,1994.0,University of Tokyo,Economics,No,Finance,24
Safra siblings,Dropout,None,,No Formal University,None,No,Manufacturing,36
Li Jianquan & family,Self-Taught,None,,No Formal University,None,Yes,Real Estate,38
Erich Wesjohann & family,Dropout,None,,No Formal University,None,No,Manufacturing,35
Gopikishan Damani,Educated,Master’s,1975.0,University of Tokyo,History,No,Retail,43
Ashwin Dani & family,Educated,Master’s,1961.0,ETH Zurich,None,Yes,Telecom,34
Axel Oberwelland & family,Educated,Master’s,2012.0,University of Oxford,Computer Science,No,Media,27
Wang Junlin,Dropout,None,,No Formal University,None,No,Manufacturing,25
Ning Wang & family,Educated,Bachelor’s,1979.0,University of Tokyo,Computer Science,Yes,Retail,32
Robert Brockman,Educated,Bachelor’s,1987.0,ETH Zurich,History,Yes,Media,36
Rui Chen,Dropout,None,,No Formal University,None,Yes,Manufacturing,41
Jian Jun,Educated,Bachelor’s,1990.0,Stanford University,None,No,Real Estate,40
Hasmukh Chudgar & family,Self-Taught,None,,No Formal University,None,No,Tech,36
Alexandra Schoerghuber & family,Educated,Bachelor’s,1961.0,University of Tokyo,Economics,No,Retail,43
Cao Renxian,Dropout,None,,No Formal University,None,No,Manufacturing,33
David Velez,Dropout,None,,No Formal University,None,No,Real Estate,30
Gustavo Denegri & family,Educated,Master’s,2011.0,University of Tokyo,None,No,Tech,35
Guanjiang Wu & family,Educated,Bachelor’s,1989.0,University of Tokyo,History,No,Finance,34
Vikram Lal & family,Dropout,None,,No Formal University,None,Yes,Real Estate,31
Enrique Razon Jr.,Dropout,None,,No Formal University,None,Yes,Retail,31
Kate Wang,Educated,Master’s,1970.0,ETH Zurich,History,No,Tech,32
Dongsheng Chen,Self-Taught,None,,No Formal University,None,Yes,Media,23
Yasumitsu Shigeta,Educated,Bachelor’s,1989.0,Harvard University,Law,No,Retail,39
Xicheng Wang & family,Dropout,None,,No Formal University,None,Yes,Tech,39
"John, Alan & Bruce Wilson",Educated,Master’s,1976.0,MIT,Computer Science,Yes,Media,29
Luiz Frias,Educated,PhD,1996.0,University of Tokyo,Engineering,Yes,Retail,37
Weiguo Li,Educated,PhD,1995.0,Stanford University,Computer Science,No,Retail,45
Paul-Heinz Wesjohann & family,Self-Taught,None,,No Formal University,None,No,Real Estate,29
Baoguo Zhu & family,Educated,PhD,1988.0,No Formal University,Business,Yes,Tech,22
Stéphane Bancel,Educated,Master’s,2006.0,University of Oxford,None,No,Tech,40
Chenghai Ye & family,Self-Taught,None,,No Formal University,None,No,Telecom,28
Wei Fang,Educated,PhD,1982.0,University of Oxford,Business,Yes,Manufacturing,30
Liu Fangyi,Dropout,None,,No Formal University,None,Yes,Media,36
Steven Meng Yang & family,Self-Taught,None,,No Formal University,None,No,Real Estate,36
Jiangtao Du & family,Educated,Master’s,1990.0,ETH Zurich,Economics,Yes,Manufacturing,37
Paul Xiaoming Lee & family,Educated,PhD,2011.0,Harvard University,Economics,Yes,Telecom,28
Li Xiang,Educated,PhD,1967.0,Harvard University,Engineering,No,Retail,31
Ugur Sahin,Self-Taught,None,,No Formal University,None,No,Finance,41
Hongyi Zhou,Educated,Bachelor’s,1990.0,MIT,History,No,Real Estate,39
Beatriz Davila de Santo Domingo,Self-Taught,None,,No Formal University,None,No,Media,33
Weimin Du,Educated,PhD,1984.0,Stanford University,None,Yes,Tech,32
Jin Baofang,Self-Taught,None,,No Formal University,None,No,Media,37
Zhigang Wu & family,Educated,PhD,2009.0,Stanford University,Engineering,Yes,Tech,41
Wenzhong Zhang,Educated,Bachelor’s,2000.0,ETH Zurich,History,No,Real Estate,22
Sergey Dmitriev,Educated,Bachelor’s,1984.0,MIT,Computer Science,No,Telecom,32
Hailiang Feng,Educated,Bachelor’s,1987.0,MIT,Engineering,Yes,Media,29
Jeff T. Green,Educated,Bachelor’s,1991.0,No Formal University,Economics,Yes,Retail,32
Song Fei,Dropout,None,,No Formal University,None,Yes,Tech,27
Zhu Gongshan & family,Dropout,None,,No Formal University,None,Yes,Tech,45
Candido Pinheiro Koren de Lima & family,Educated,Bachelor’s,1971.0,Harvard University,None,Yes,Telecom,37
Yuan Liping,Educated,Master’s,1969.0,ETH Zurich,Law,No,Finance,35
Apoorva Mehta,Dropout,None,,No Formal University,None,Yes,Manufacturing,33
Julia Thiele-Schuerhoff,Educated,Master’s,1980.0,University of Tokyo,Business,Yes,Finance,40
Ye Guofu,Dropout,None,,No Formal University,None,Yes,Telecom,33
Xu Yi,Educated,PhD,1966.0,University of Oxford,Economics,No,Real Estate,33
Dong Jinggui,Dropout,None,,No Formal University,None,No,Tech,23
Vyacheslav Kim,Educated,Bachelor’s,2014.0,ETH Zurich,Economics,No,Retail,41
Kevin David Lehmann,Educated,Bachelor’s,1979.0,MIT,Law,Yes,Media,33
Xiangdong Qi,Dropout,None,,No Formal University,None,No,Media,26
Yoichi & Keiko Erikawa,Educated,PhD,2006.0,ETH Zurich,None,No,Tech,36
Mikhail Lomtadze,Educated,Master’s,2004.0,No Formal University,Computer Science,No,Finance,30
Yuhua Gu & family,Educated,PhD,1973.0,Harvard University,Business,Yes,Real Estate,38
Artem Khachatryan,Educated,Bachelor’s,1967.0,University of Tokyo,Engineering,No,Tech,24
Gaiteng Li,Dropout,None,,No Formal University,None,Yes,Media,42
Sergey Lomakin,Educated,Master’s,1971.0,University of Oxford,Economics,No,Manufacturing,39
Tengyun Nie & family,Self-Taught,None,,No Formal University,None,Yes,Retail,27
Zhongru Gan,Educated,Bachelor’s,1960.0,MIT,None,No,Finance,32
Huang Jinfeng,Dropout,None,,No Formal University,None,No,Finance,25
Justin Ishbia,Educated,Bachelor’s,1980.0,No Formal University,History,Yes,Retail,45
George Kurtz,Educated,PhD,2010.0,University of Tokyo,Economics,Yes,Manufacturing,40
Sheldon Lavin,Self-Taught,None,,No Formal University,None,No,Real Estate,43
Zuowen Song,Educated,Bachelor’s,2015.0,University of Oxford,Law,Yes,Telecom,37
Ming Tian,Educated,Bachelor’s,1970.0,University of Tokyo,None,No,Manufacturing,24
Changtian Wang,Self-Taught,None,,No Formal University,None,Yes,Finance,34
Cameron Winklevoss,Educated,Master’s,1976.0,University of Oxford,History,No,Retail,32
Tyler Winklevoss,Educated,Master’s,1997.0,No Formal University,Economics,Yes,Tech,23
Yin Xin,Educated,Master’s,1990.0,Stanford University,Computer Science,Yes,Manufacturing,29
Zhang Lei,Self-Taught,None,,No Formal University,None,No,Finance,25
Xingming Zhu,Dropout,None,,No Formal University,None,No,Telecom,38
Guangming Fu & family,Educated,Bachelor’s,2001.0,MIT,Law,No,Telecom,38
Zhenda Huang & family,Dropout,None,,No Formal University,None,No,Manufacturing,43
Brad Jacobs,Dropout,None,,No Formal University,None,No,Manufacturing,33
Pablo Legorreta,Educated,Master’s,1983.0,No Formal University,None,No,Retail,42
Matt Moulding,Dropout,None,,No Formal University,None,No,Media,38
Benjamin Otto,Educated,Master’s,1967.0,No Formal University,Computer Science,Yes,Finance,26
Paul Sciarra,Educated,Master’s,1989.0,ETH Zurich,Computer Science,Yes,Media,26
Yingzhuo Xu,Educated,Master’s,2000.0,University of Tokyo,None,No,Tech,36
Ye Fan & family,Educated,Bachelor’s,1997.0,University of Tokyo,Business,No,Retail,25
Baokun Bai,Dropout,None,,No Formal University,None,Yes,Real Estate,37
David Baszucki,Dropout,None,,No Formal University,None,Yes,Manufacturing,34
Hua Chen,Self-Taught,None,,No Formal University,None,Yes,Tech,27
Chen Tianshi,Dropout,None,,No Formal University,None,Yes,Finance,38
Deng Weiming & family,Educated,Master’s,2014.0,University of Tokyo,Economics,Yes,Manufacturing,29
Gary Friedman,Dropout,None,,No Formal University,None,No,Media,39
Liufa Li & family,Educated,PhD,1981.0,University of Tokyo,Economics,Yes,Telecom,41
Lv Jianming,Dropout,None,,No Formal University,None,Yes,Media,25
Lars Wingefors,Educated,Master’s,1983.0,MIT,Engineering,No,Real Estate,40
Xu Jinfu,Educated,PhD,1983.0,Harvard University,History,No,Telecom,38
Tony Xu,Educated,Bachelor’s,2006.0,University of Oxford,History,Yes,Media,43
Zhihan Xu,Educated,Bachelor’s,1985.0,Harvard University,History,Yes,Tech,40
Zhong Ruonong & family,Educated,Master’s,1960.0,Stanford University,None,Yes,Media,40
Victor Jacobsson,Self-Taught,None,,No Formal University,None,No,Finance,42
Valentin Kipyatkov,Self-Taught,None,,No Formal University,None,No,Tech,29
Gabriella Meister,Dropout,None,,No Formal University,None,Yes,Manufacturing,23
Suyu Su & family,Dropout,None,,No Formal University,None,No,Media,39
Yuequn Tao,Dropout,None,,No Formal University,None,Yes,Tech,31
Guilherme Benchimol,Educated,PhD,1979.0,Stanford University,History,No,Finance,34
Dongchen Cai,Educated,Bachelor’s,2004.0,No Formal University,None,No,Finance,34
Anthony Hsieh,Dropout,None,,No Formal University,None,Yes,Real Estate,24
Yuji Otsuka,Educated,Bachelor’s,2006.0,University of Tokyo,Law,Yes,Finance,33
Jianhua Ren,Educated,Master’s,2005.0,Harvard University,History,No,Manufacturing,32
Guangming Wu,Self-Taught,None,,No Formal University,None,No,Tech,33
Yang Yuanxi,Dropout,None,,No Formal University,None,No,Real Estate,43
Zhaojiang Zhu,Educated,Master’s,2015.0,University of Oxford,None,No,Finance,40
Chang Jing,Educated,Bachelor’s,1982.0,No Formal University,Economics,Yes,Real Estate,31
Mikhail Gutseriev & brother,Educated,PhD,1999.0,Harvard University,History,Yes,Media,38
Hu Kun,Self-Taught,None,,No Formal University,None,No,Real Estate,27
Mark & Robyn Jones,Educated,PhD,1994.0,University of Tokyo,Law,No,Real Estate,22
José Neves,Educated,Bachelor’s,1971.0,University of Tokyo,Economics,No,Media,30
Jerry Ng,Educated,PhD,2003.0,University of Oxford,Economics,Yes,Tech,41
Matthew Prince,Self-Taught,None,,No Formal University,None,No,Retail,42
André Street,Self-Taught,None,,No Formal University,None,No,Manufacturing,42
Mengquan Sun & family,Self-Taught,None,,No Formal University,None,No,Media,30
Daniel Sundheim,Educated,Bachelor’s,1967.0,Harvard University,Engineering,Yes,Finance,37
Xu Shaochun,Self-Taught,None,,No Formal University,None,Yes,Retail,26
David Chen,Educated,Bachelor’s,1968.0,No Formal University,Computer Science,Yes,Retail,42
Jinxia Chen,Educated,Bachelor’s,1967.0,University of Tokyo,None,Yes,Manufacturing,32
Chen Xiao Ying,Dropout,None,,No Formal University,None,Yes,Manufacturing,35
Dai Lizhong,Educated,Bachelor’s,1991.0,University of Oxford,Business,Yes,Manufacturing,27
Eduardo de Pontes,Educated,Master’s,2014.0,MIT,Computer Science,No,Media,30
Chetan Dube,Self-Taught,None,,No Formal University,None,No,Tech,44
Gao Jifan & family,Educated,PhD,1981.0,University of Tokyo,History,No,Finance,37
Sebastian Glaser,Educated,Bachelor’s,1972.0,Harvard University,History,No,Media,39
Yangyong Luo & family,Self-Taught,None,,No Formal University,None,Yes,Media,25
Austin Russell,Dropout,None,,No Formal University,None,No,Media,45
Karin Sartorius-Herbst,Dropout,None,,No Formal University,None,Yes,Finance,31
Renate Sick-Glaser,Self-Taught,None,,No Formal University,None,Yes,Manufacturing,37
Xiong Shaoming,Educated,Bachelor’s,2001.0,ETH Zurich,Business,Yes,Telecom,29
Yang Jianliang & family,Educated,Bachelor’s,1990.0,University of Oxford,Economics,No,Tech,29
Zhang Ning & family,Dropout,None,,No Formal University,None,Yes,Manufacturing,25
Hongfei Zhao,Self-Taught,None,,No Formal University,None,No,Finance,38
Bang Si-hyuk,Self-Taught,None,,No Formal University,None,No,Tech,27
Zhisong Chen,Educated,Bachelor’s,1982.0,MIT,None,Yes,Tech,30
Mario Germano Giuliani,Educated,PhD,2015.0,No Formal University,Engineering,Yes,Manufacturing,23
Guan Yihong,Dropout,None,,No Formal University,None,No,Real Estate,36
Xuande Hua & family,Educated,Bachelor’s,1977.0,Harvard University,Economics,Yes,Telecom,44
Jared Isaacman,Educated,Master’s,2005.0,MIT,Economics,Yes,Finance,30
David Jiang,Educated,Master’s,2013.0,University of Tokyo,History,Yes,Tech,41
Boris Jordan,Educated,Master’s,1966.0,ETH Zurich,Engineering,Yes,Media,30
Andrew Paradise,Educated,Bachelor’s,1997.0,ETH Zurich,History,No,Finance,45
Michael Saylor,Educated,Bachelor’s,1996.0,University of Oxford,Engineering,Yes,Finance,33
Zhongyi Wu,Educated,Bachelor’s,1979.0,No Formal University,Engineering,Yes,Retail,22
Yang Weidong & family,Educated,PhD,2001.0,ETH Zurich,Engineering,Yes,Real Estate,25
Richard Barton,Educated,PhD,1963.0,Harvard University,Engineering,No,Real Estate,38
Yadu Hari Dalmia & family,Educated,Master’s,1973.0,Harvard University,Law,Yes,Finance,39
Guo Jiangang,Educated,Master’s,1970.0,Harvard University,Engineering,Yes,Tech,41
Wei Huang,Educated,Master’s,1985.0,No Formal University,Law,Yes,Tech,40
Jeff Lawson,Educated,Bachelor’s,1994.0,University of Tokyo,Economics,Yes,Retail,36
Max Levchin,Educated,Bachelor’s,1963.0,Harvard University,Law,Yes,Finance,32
Li Guoqing,Self-Taught,None,,No Formal University,None,Yes,Tech,36
Shuirong Li,Educated,Bachelor’s,1972.0,No Formal University,None,Yes,Telecom,36
Li Yongqing,Educated,Bachelor’s,1973.0,University of Tokyo,None,No,Manufacturing,23
Zhongwu Mao,Dropout,None,,No Formal University,None,No,Tech,42
Enhua Mi,Educated,Bachelor’s,1967.0,Harvard University,None,No,Retail,44
Catherine Phillips,Dropout,None,,No Formal University,None,No,Media,25
John Phillips,Self-Taught,None,,No Formal University,None,Yes,Manufacturing,27
Sebastian Siemiatkowski,Educated,PhD,1964.0,University of Oxford,None,Yes,Real Estate,30
Dean Solon,Educated,Bachelor’s,1969.0,No Formal University,Engineering,No,Retail,26
Timothy Springer,Educated,Bachelor’s,2001.0,University of Oxford,Economics,Yes,Retail,27
Wenbo Xiang,Educated,Master’s,2008.0,Harvard University,Engineering,Yes,Manufacturing,30
Xu Yuejuan,Educated,PhD,2011.0,No Formal University,Law,Yes,Real Estate,41
Shintaro Yamada,Educated,Master’s,1986.0,ETH Zurich,History,No,Retail,25
Bernard Fraisse & family,Educated,Bachelor’s,1986.0,Harvard University,History,No,Manufacturing,31
Fabricio Garcia,Dropout,None,,No Formal University,None,Yes,Telecom,26
Flavia Bittar Garcia Faleiros,Educated,Bachelor’s,2004.0,MIT,Computer Science,No,Tech,34
Gong Yingying,Educated,Bachelor’s,1996.0,ETH Zurich,Economics,No,Manufacturing,40
Arthur Xiaobo Hong,Self-Taught,None,,No Formal University,None,Yes,Finance,35
Hong Feng,Educated,Bachelor’s,2008.0,ETH Zurich,Business,No,Retail,37
Li Wanqiang,Educated,Master’s,1992.0,ETH Zurich,Law,Yes,Finance,36
Weiwei Li,Educated,Bachelor’s,1960.0,University of Tokyo,Computer Science,No,Retail,36
Timur Turlov,Educated,Master’s,1974.0,University of Oxford,None,Yes,Manufacturing,25
Wang Minwen,Educated,Bachelor’s,1999.0,No Formal University,Computer Science,Yes,Tech,35
Weng Xianding,Educated,Bachelor’s,1996.0,ETH Zurich,History,Yes,Real Estate,41
Michael Xie,Self-Taught,None,,No Formal University,None,Yes,Media,28
Fenggang Zhao,Dropout,None,,No Formal University,None,Yes,Retail,39
Wenjun Dai,Educated,Bachelor’s,1988.0,Harvard University,Computer Science,Yes,Tech,29
Zhenggang Dou,Educated,Master’s,1980.0,MIT,Law,Yes,Finance,44
John Elkann,Self-Taught,None,,No Formal University,None,Yes,Tech,27
Ibrahim Erdemoglu,Educated,Master’s,2003.0,ETH Zurich,Engineering,Yes,Retail,32
Andy Fang,Educated,Bachelor’s,1973.0,Harvard University,Economics,Yes,Tech,39
Hongbo Fang,Educated,Bachelor’s,1978.0,ETH Zurich,History,No,Real Estate,29
Yunfeng Ke & family,Educated,Master’s,1960.0,University of Tokyo,Computer Science,Yes,Tech,30
Jed McCaleb,Educated,Master’s,1961.0,University of Tokyo,None,Yes,Real Estate,40
"Joe Rogers, Jr.",Dropout,None,,No Formal University,None,Yes,Media,29
Stanley Tang,Educated,Bachelor’s,1989.0,ETH Zurich,None,No,Telecom,44
Xiuguo Tang,Dropout,None,,No Formal University,None,No,Tech,39
Zhenghua Wang,Dropout,None,,No Formal University,None,No,Retail,39
Kai Wu,Self-Taught,None,,No Formal University,None,Yes,Media,39
Xuansong Zhang,Educated,PhD,1984.0,Stanford University,Economics,Yes,Tech,41
Noubar Afeyan,Self-Taught,None,,No Formal University,None,No,Telecom,29
Andrey Blokh,Educated,Bachelor’s,1966.0,ETH Zurich,None,Yes,Real Estate,24
Thierry Cruanes,Self-Taught,None,,No Formal University,None,Yes,Retail,24
Benoit Dageville,Dropout,None,,No Formal University,None,No,Telecom,30
Fred Ehrsam,Educated,Bachelor’s,1996.0,No Formal University,Business,Yes,Tech,28
Francois Feuillet & family,Dropout,None,,No Formal University,None,Yes,Tech,33
"William Foley, II.",Educated,Master’s,1977.0,University of Oxford,Law,Yes,Real Estate,32
Yi Gao & family,Educated,Master’s,1998.0,MIT,Business,No,Media,34
Gao Yu,Educated,Bachelor’s,1963.0,Harvard University,Economics,Yes,Retail,42
Huang Jiangji,Dropout,None,,No Formal University,None,Yes,Telecom,39
Zhaobai Jiang,Self-Taught,None,,No Formal University,None,Yes,Finance,42
Ke Jinlong & family,Educated,Bachelor’s,2009.0,MIT,Economics,Yes,Real Estate,26
Kangbao Ke & family,Educated,Bachelor’s,1964.0,University of Oxford,Business,No,Finance,36
Ipek Kirac,Educated,PhD,2000.0,Stanford University,Law,No,Finance,29
Alexis Lê-Quôc,Educated,Bachelor’s,1960.0,MIT,Economics,Yes,Manufacturing,25
Hongjing Li,Self-Taught,None,,No Formal University,None,Yes,Manufacturing,44
Ermirio Pereira de Moraes & family,Educated,Master’s,2003.0,University of Oxford,Economics,Yes,Media,42
Maria Helena Moraes Scripilliti & family,Self-Taught,None,,No Formal University,None,No,Manufacturing,22
Peng Yongdong,Educated,PhD,1985.0,Harvard University,Economics,Yes,Real Estate,41
Olivier Pomel,Educated,Bachelor’s,1987.0,University of Oxford,Economics,Yes,Tech,26
Frank Slootman,Educated,Master’s,1989.0,Harvard University,Economics,Yes,Telecom,45
Sergio Stevanato & family,Self-Taught,None,,No Formal University,None,Yes,Finance,40
Lili Tan,Dropout,None,,No Formal University,None,No,Tech,33
Patrizio Vinciarelli,Educated,Bachelor’s,1976.0,University of Tokyo,History,No,Tech,37
Wang Junshi & family,Dropout,None,,No Formal University,None,No,Media,32
Yang Xuegang,Educated,PhD,2006.0,No Formal University,Business,No,Real Estate,45
Huijiao Yu,Educated,PhD,2001.0,Stanford University,Engineering,No,Real Estate,29
Kaitian Zeng,Self-Taught,None,,No Formal University,None,No,Real Estate,22
Zhu Yiwen & family,Educated,Bachelor’s,1975.0,Harvard University,Business,No,Telecom,45
Joachim Ante,Dropout,None,,No Formal University,None,Yes,Telecom,31
Arun Bharat Ram,Educated,Bachelor’s,1975.0,MIT,Computer Science,No,Tech,37
Mingtong Cai,Self-Taught,None,,No Formal University,None,Yes,Finance,32
Anthony Eisen,Dropout,None,,No Formal University,None,Yes,Media,36
Ali Erdemoglu,Dropout,None,,No Formal University,None,Yes,Real Estate,36
Ali Ghodsi,Self-Taught,None,,No Formal University,None,No,Media,35
Carl Hansen,Dropout,None,,No Formal University,None,No,Retail,44
He Xinming family,Dropout,None,,No Formal University,None,Yes,Media,26
Willis Johnson,Educated,Bachelor’s,1999.0,University of Oxford,Law,No,Manufacturing,30
Juan Lopez-Belmonte Lopez,Dropout,None,,No Formal University,None,No,Real Estate,36
Dalong Lv,Self-Taught,None,,No Formal University,None,Yes,Manufacturing,23
Shouliang Miao,Dropout,None,,No Formal University,None,No,Tech,23
Nick Molnar,Educated,PhD,2011.0,University of Tokyo,Business,No,Retail,26
Kazuo Okada,Educated,Bachelor’s,1977.0,No Formal University,Engineering,No,Tech,31
John Oyler,Dropout,None,,No Formal University,None,No,Manufacturing,26
Qin Long,Self-Taught,None,,No Formal University,None,Yes,Tech,32
Glenn Sanford,Dropout,None,,No Formal University,None,No,Media,30
Shang Xiaobo & family,Dropout,None,,No Formal University,None,No,Finance,33
Shi Yifeng,Educated,Master’s,1961.0,University of Oxford,History,No,Media,31
Tan Yu Yeh,Dropout,None,,No Formal University,None,Yes,Media,25
Wang Lizhan,Educated,Master’s,1991.0,No Formal University,Engineering,Yes,Manufacturing,26
Wei Lidong & family,Educated,Bachelor’s,2002.0,University of Oxford,Engineering,No,Finance,32
Kanye West,Dropout,None,,No Formal University,None,No,Manufacturing,38
Bo Wu,Self-Taught,None,,No Formal University,None,Yes,Manufacturing,38
Kaiting Wu,Educated,PhD,1994.0,Harvard University,Law,No,Retail,22
Xu Guozhong & family,Educated,Bachelor’s,1966.0,Harvard University,Engineering,Yes,Finance,33
Xuexin Zhang & family,Educated,Master’s,1977.0,Harvard University,None,Yes,Finance,22
Weiguo Zhao,Educated,Bachelor’s,1979.0,University of Tokyo,History,No,Tech,29
Alex Birkenstock,Educated,Bachelor’s,2006.0,ETH Zurich,None,No,Tech,23
Christian Birkenstock,Educated,Bachelor’s,2004.0,Stanford University,Economics,No,Manufacturing,40
Stewart Butterfield,Dropout,None,,No Formal University,None,Yes,Tech,24
Giuliana Caprotti,Self-Taught,None,,No Formal University,None,Yes,Tech,28
Marina Caprotti,Educated,PhD,2012.0,Harvard University,Engineering,Yes,Media,44
Chen Guoxiang & family,Educated,Bachelor’s,2012.0,University of Oxford,None,No,Tech,45
Chen Xueling,Educated,Master’s,1984.0,Stanford University,None,No,Telecom,44
Philip Fayer,Dropout,None,,No Formal University,None,Yes,Telecom,38
Giammaria Giuliani,Educated,Master’s,1978.0,No Formal University,History,No,Media,38
G. Gnanalingam,Educated,Bachelor’s,1960.0,ETH Zurich,Economics,Yes,Finance,36
Tianjiang Jia & family,Educated,Bachelor’s,1970.0,ETH Zurich,Economics,Yes,Real Estate,27
Eric Jing,Educated,Master’s,2013.0,University of Oxford,Computer Science,Yes,Real Estate,26
Todd McKinnon,Dropout,None,,No Formal University,None,Yes,Telecom,29
Shalom Meckenzie,Educated,PhD,1966.0,University of Oxford,Economics,Yes,Media,41
Genhuo Shao,Educated,PhD,1968.0,Stanford University,History,No,Retail,37
Tung Ching Sai,Educated,Bachelor’s,1972.0,University of Oxford,Business,Yes,Tech,36
Wu Ying,Self-Taught,None,,No Formal University,None,Yes,Tech,27
